year-month,countriesAndTerritories,cases cumulative month,deaths cumulative month,year,month,%_exportaciones_bienes_servicios
2021-10,Denmark,28987,58,2021,10,59.6
2021-10,Estonia,38382,183,2021,10,80.5
2021-10,Finland,17158,129,2021,10,38.9
2021-10,France,153445,965,2021,10,29.4
2021-10,Germany,375291,3510,2021,10,47.3
2021-10,Greece,86403,1098,2021,10,40.6
2021-10,Hungary,40714,539,2021,10,81.3
2021-10,Iceland,1900,0,2021,10,38.1
2021-10,Ireland,55662,187,2021,10,134.8
2021-10,Italy,99610,1179,2021,10,32.7
2021-10,Latvia,60848,533,2021,10,64.1
2021-10,Liechtenstein,131,1,2021,10,:
2021-10,Lithuania,77440,905,2021,10,80.4
2021-10,Luxembourg,3757,11,2021,10,212.1
2021-10,Malta,506,4,2021,10,149.2
2021-10,Netherlands,128935,241,2021,10,83.6
2021-10,Norway,18298,39,2021,10,41.6
2021-10,Poland,118176,1349,2021,10,60.7
2021-10,Portugal,22232,184,2021,10,42
2021-10,Romania,414363,10710,2021,10,40.8
2021-10,Slovakia,96335,396,2021,10,93.9
2021-10,Slovenia,42790,184,2021,10,83.5
2021-10,Spain,50786,565,2021,10,34.9
2021-10,Sweden,20010,154,2021,10,45.4
2021-11,Austria,334260,1548,2021,11,56.6
2021-11,Belgium,416634,1029,2021,11,85.5
2021-11,Bulgaria,92565,4407,2021,11,63
2021-11,Croatia,137857,1679,2021,11,51.5
2021-11,Cyprus,10029,13,2021,11,81
2021-11,Czechia,406385,2463,2021,11,72.6
2021-11,Denmark,99618,181,2021,11,59.6
2021-11,Estonia,27806,265,2021,11,80.5
2021-11,Finland,29971,236,2021,11,38.9
2021-11,France,508627,1476,2021,11,29.4
2021-11,Germany,1322047,10567,2021,11,47.3
2021-11,Greece,196733,2159,2021,11,40.6
2021-11,Hungary,239689,3792,2021,11,81.3
2021-11,Iceland,4155,2,2021,11,38.1
2021-11,Ireland,124521,216,2021,11,134.8
2021-11,Italy,256582,1728,2021,11,32.7
2021-11,Latvia,34520,929,2021,11,64.1
2021-11,Liechtenstein,1117,0,2021,11,:
2021-11,Lithuania,61525,853,2021,11,80.4
2021-11,Luxembourg,7684,30,2021,11,212.1
2021-11,Malta,1782,7,2021,11,149.2
2021-11,Netherlands,510269,1001,2021,11,83.6
2021-11,Norway,63319,154,2021,11,41.6
2021-11,Poland,514814,6584,2021,11,60.7
2021-11,Portugal,59907,303,2021,11,42
2021-11,Romania,131636,8778,2021,11,40.8
2021-11,Slovakia,282502,1458,2021,11,93.9
2021-11,Slovenia,86054,479,2021,11,83.5
2021-11,Spain,182664,668,2021,11,34.9
2021-11,Sweden,33891,120,2021,11,45.4
2021-12,Austria,111279,1321,2021,12,56.6
2021-12,Belgium,332506,1169,2021,12,85.5
2021-12,Bulgaria,52051,2565,2021,12,63
2021-12,Croatia,107040,1639,2021,12,51.5
2021-12,Cyprus,32354,50,2021,12,81
2021-12,Czechia,307941,2995,2021,12,72.6
2021-12,Denmark,282604,306,2021,12,59.6
2021-12,Estonia,18955,117,2021,12,80.5
2021-12,Finland,87894,259,2021,12,38.9
2021-12,France,2297296,4610,2021,12,29.4
2021-12,Germany,1255689,8484,2021,12,47.3
2021-12,Greece,271950,2587,2021,12,40.6
2021-12,Hungary,153307,4665,2021,12,81.3
2021-12,Iceland,9165,2,2021,12,38.1
2021-12,Ireland,218444,260,2021,12,134.8
2021-12,Italy,1097136,3574,2021,12,32.7
2021-12,Latvia,23015,391,2021,12,64.1
2021-12,Liechtenstein,1471,8,2021,12,:
2021-12,Lithuania,49502,634,2021,12,80.4
2021-12,Luxembourg,15252,40,2021,12,212.1
2021-12,Malta,13033,9,2021,12,149.2
2021-12,Netherlands,489656,1507,2021,12,83.6
2021-12,Norway,126243,251,2021,12,41.6
2021-12,Poland,568154,13471,2021,12,60.7
2021-12,Portugal,260321,519,2021,12,42
2021-12,Romania,29224,2223,2021,12,40.8
2021-12,Slovakia,190205,2162,2021,12,93.9
2021-12,Slovenia,42494,365,2021,12,83.5
2021-12,Spain,1604885,2045,2021,12,34.9
2021-12,Sweden,129181,196,2021,12,45.4
